Id,Public Id,Name,Depth,Next Issue Id,Next Issue Name,Parent Issue Id,Parent Issue Name,Prev Issue Id,Prev Issue Name,Projects,Related Guides,Sequence,Ticked,Created By Id,Created By Name,Creation Date,Modification Date
011ae95e-1be2-40ff-84c3-d02dfd3168e1,23,Azure,0,,,,,,,Scripts,,,no,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-04-25T06:22:09.125Z,2026-05-05T08:49:37.631Z
075af201-5ac9-40b3-8021-ac8a944a3540,201,"Deploy researchers on Scripts repo - code quality, security, design audit",0,,,,,,,,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-04T20:56:09.716Z,2026-05-05T08:49:37.631Z
0bf9df0b-5141-4eef-a756-fee89f6e90a6,174,"Emby: setup wizard uncompleted, 302 redirect",0,,,,,,,,,,yes,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-03T07:49:57.923Z,2026-05-05T08:49:37.631Z
0c2776d3-9cda-4ee5-ac8d-a49f9f48b9c4,35,Push Dharma DSA to Kanishk,0,,,,,,,DSAs,,,no,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-04-25T06:22:28.066Z,2026-05-05T08:49:37.631Z
10c2b172-ae39-412c-89b0-2bab9d0d520a,51,Download missing FTDs,0,,,,,,,,,,no,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-04-25T06:24:12.040Z,2026-05-05T08:49:37.631Z
14d90a35-0725-4fdc-a21a-edeb1ac559e3,151,VS Code Insiders NUL Recovery - Full Diagnostic & Fix,0,,,,,,,,,,yes,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-02T09:02:33.283Z,2026-05-05T08:49:37.631Z
20983fbf-b952-4b80-80cf-7a28aaeec571,216,"Agent Config Refactor - Skills Dedup, Hooks Harden, Fibery CPM",0,,,,,,,,,0,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T01:18:29.463Z,2026-05-06T01:18:30.217Z
21c47d1a-30d4-4549-be32-0a3d1d2dea94,221,Assess and optimize repo for Cline,0,,,,,,,,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-07T02:56:17.325Z,2026-05-07T02:56:18.289Z
23cf9fb7-cacf-44aa-a11c-450db323c39d,215,Cline Model Collation and Performance Analysis,0,,,,,,,,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-05T21:09:17.058Z,2026-05-05T21:09:17.713Z
240bb1b8-b333-4839-bd98-95087cbf8e76,185,Fibery Workspace Audit May 2026,0,,,,,,,,,,no,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-04T08:12:15.166Z,2026-05-05T08:49:37.631Z
307488a2-b21c-44cf-a0b6-437d42ee475f,171,"Whisparr: 0 DL clients, 0 root folders, 0 indexers",0,,,,,,,,,,yes,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-03T07:49:47.530Z,2026-05-05T08:49:37.631Z
33681796-0844-47a6-92df-d3e0c279e2e7,179,"Homepage: likely unconfigured, no service links verified",0,,,,,,,,,,yes,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-03T07:50:14.051Z,2026-05-05T08:49:37.631Z
34e2eed5-d1c5-4ef5-a0f1-d050f21c3c5d,210,Automation Rule: Auto-update Depth on parent change,0,,,,,,,,,,no,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-05T08:50:09.247Z,2026-05-05T08:50:10.611Z
35014765-dcff-45e3-b957-c18adb559fae,146,Phase 2: Fibery Workflow & Hooks Architecture,0,,,,,,,,,,no,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-04-30T18:59:02.191Z,2026-05-05T08:49:37.631Z
399d70e4-e870-4f4d-bb4f-d5a7578a7738,177,"qBittorrent: password mismatch, *arr apps cannot auth",0,,,,,,,,,,yes,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-03T07:50:09.015Z,2026-05-05T08:49:37.631Z
399f114d-b4eb-46bc-bde5-d71da2cdb32e,195,Eliminate duplicate WireGuard tunnel in qbittorrent,1,de3dc2c2-68af-4b4e-a46e-72fd51c163ff,Unify DNS configuration across all containers,95383775-9f84-43e8-b54e-7a414320c652,Network Architecture Audit & Simplification,,,,,0,yes,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-04T12:23:36.800Z,2026-05-05T20:45:01.490Z
3b8ab127-a3e7-4592-b902-029480d7539f,172,Bazarr: Sonarr/Radarr API auth failures,0,,,,,,,,,,yes,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-03T07:49:53.453Z,2026-05-05T08:49:37.631Z
42f4a890-4f49-4fd1-b251-b1254b64f3d6,152,Build Hook Validator Script + Clean Old Files,0,,,,,,,,,,yes,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-02T22:06:03.555Z,2026-05-05T08:49:37.631Z
