Id,Public Id,Name,Concern,Last Verified,Parent Guide Id,Parent Guide Name,Related Issues,Created By Id,Created By Name,Creation Date,Modification Date
10e23296-baf5-4ff5-8b00-c8259ed181d7,49,AI Agents — Execution Log System,,,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-05T23:48:03.208Z,2026-05-05T23:48:03.208Z
18d3459f-5743-4247-aee7-673cabfd8f95,46,Parsec Network Diagnostics & Troubleshooting,,2026-05-04,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-04T07:10:19.023Z,2026-05-04T07:11:13.808Z
1a8a3ba5-d34f-4ef2-803a-4d1eea36a53d,33,OCI Media Stack Setup (Master),Infrastructure,2026-05-04,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-03T19:32:14.259Z,2026-05-04T14:18:33.040Z
1f428f62-da05-4ced-aa68-ec8401b1d4ef,44,"Cline Hook System — Architecture, Protocol & Validation",,2026-05-04,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-04T03:24:40.223Z,2026-05-04T03:24:40.223Z
21e6bdd1-1188-4d07-8624-58a32e94c77d,52,Cline Hook Failure Chain — Root Cause Analysis,,,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:39:44.449Z,2026-05-06T02:39:44.449Z
36cd917f-b317-4481-988e-55148d8e44dc,31,Forensic Analysis: NUL File Failures on Windows,,,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-03T00:39:08.913Z,2026-05-03T00:39:08.913Z
3dee1dd2-4905-4cdc-ad96-01d6694f73b0,47,Parsec Network Topology Analysis,,2026-05-04,18d3459f-5743-4247-aee7-673cabfd8f95,Parsec Network Diagnostics & Troubleshooting,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-04T07:11:10.668Z,2026-05-04T07:11:10.668Z
3e8d1334-4418-484d-be57-14df038b7b7b,35,Data Volume Recovery & Mounting,Infrastructure,2026-05-04,1a8a3ba5-d34f-4ef2-803a-4d1eea36a53d,OCI Media Stack Setup (Master),,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-03T19:32:14.259Z,2026-05-03T19:32:32.867Z
6af92842-623e-4a19-9816-0ce8a30e0e1e,30,PowerShell Cline Hook Best Practices,,,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-02T21:58:53.680Z,2026-05-02T21:58:53.680Z
7e7856fc-cbfc-4a8f-9177-2f3077b34b82,39,Bitwarden Windows SSH Setup,Security,2026-05-04,1a8a3ba5-d34f-4ef2-803a-4d1eea36a53d,OCI Media Stack Setup (Master),,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-03T19:32:14.259Z,2026-05-03T19:32:32.867Z
81396a90-5e8d-4aae-bdfa-28d05a65eda6,36,Ubuntu Host Hardening,Security,2026-05-04,1a8a3ba5-d34f-4ef2-803a-4d1eea36a53d,OCI Media Stack Setup (Master),,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-03T19:32:14.259Z,2026-05-03T19:32:32.867Z
8763acf8-714c-439e-8344-b8caeb0c5bef,25,JDK Modernization Patterns for Leetcode Solutions,,,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-02T01:34:30.565Z,2026-05-02T01:34:30.565Z
90b038cb-215a-4311-a401-4956b775cc90,34,OCI Instance Provisioning,Infrastructure,2026-05-04,1a8a3ba5-d34f-4ef2-803a-4d1eea36a53d,OCI Media Stack Setup (Master),,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-03T19:32:14.259Z,2026-05-03T19:32:32.867Z
afb36c6f-19d5-4187-9d79-cf6671614457,45,Cline → Copilot Hook Converter,,,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-04T03:52:04.954Z,2026-05-04T03:52:04.954Z
b311bd81-96e6-4242-b8c9-7f5d952661d7,37,Docker Modular Architecture,Docker,2026-05-04,1a8a3ba5-d34f-4ef2-803a-4d1eea36a53d,OCI Media Stack Setup (Master),,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-03T19:32:14.259Z,2026-05-03T19:32:32.867Z
d3797e8b-cb3e-496c-9c7a-f0f8c91cbf12,3,"MCP Setup Guide — Kilo, Crush, and VSCode",,,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-04-27T21:16:37.305Z,2026-04-30T04:17:02.263Z
e255007a-1a32-46fd-ae22-1331bead6b6c,48,Parsec Performance Data & Analysis,,2026-05-04,18d3459f-5743-4247-aee7-673cabfd8f95,Parsec Network Diagnostics & Troubleshooting,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-04T07:11:13.808Z,2026-05-04T07:11:13.808Z
f5650ce6-930c-4896-9bc4-148dc52e8d02,32,Forensic Analysis: Architectural Shift from .copilot to Fibery,,,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-03T00:39:24.952Z,2026-05-03T00:39:24.952Z
f6b16628-6948-410e-b0f0-034a5d4be5cf,38,VPN Namespace Wiring,VPN,2026-05-04,1a8a3ba5-d34f-4ef2-803a-4d1eea36a53d,OCI Media Stack Setup (Master),,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-03T19:32:14.259Z,2026-05-03T19:32:32.867Z
fecd4d5a-d54d-4ee6-9629-84ae4415f493,18,OCI SSH,,,,,,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-04-30T03:06:48.471Z,2026-05-03T00:08:40.610Z
