Id,Public Id,Name,Command,Error Return,Issue Id,Issue Name,Status,Timestamp,Created By Id,Created By Name,Creation Date,Modification Date
009cd182-6d80-4c0a-8d28-c3c25887541c,1,Cmd: echo test from MCP,echo test,,,,Success,2026-05-05T22:21:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-05T23:51:56.854Z,2026-05-05T23:51:56.854Z
01230a4d-dfc3-41d9-a719-7ae05301a5f9,11,"[S] Fix GuardRails.ps1:61,72: empty catch replaced with Write-Error",edit GuardRails.ps1: 2 empty catch {} in git check + path resolve replaced,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T03:05:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:55:12.462Z,2026-05-06T02:55:12.462Z
2630c892-31a3-4e8c-8cf3-4370760b0d38,4,[U] Session: wrote Invoke-FiberyLog.ps1 + hooks,"write_to_file Invoke-FiberyLog.ps1, ExecutionLog.ps1, DoomLoop.ps1",,,,Success,2026-05-06T00:28:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T00:29:00.541Z,2026-05-06T00:29:00.541Z
2825bb45-41a6-465a-8b8b-c18a909271ab,3,Cmd: test reasoning,test,,,,Success,2026-05-05T22:22:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-05T23:53:24.967Z,2026-05-05T23:53:24.967Z
4cf382a9-718c-4158-9fc6-d63f06f20c1a,2,Cmd: echo test,echo test,,,,Success,2026-05-05T22:21:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-05T23:52:16.658Z,2026-05-05T23:52:16.658Z
4df95220-c849-431b-ab10-fedebcdaff0d,7,[S] Fix HookRuntime.ps1:57: quoted HOOK CRASH string,edit HookRuntime.ps1 line 57: wrapped HOOK CRASH in quotes,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T03:01:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:54:47.601Z,2026-05-06T02:54:47.601Z
4ea10022-9101-4939-b809-6133fa9133c7,13,[S] Write-Host refactor: Test-Hooks.ps1 21 calls → Write-Information,edit Test-Hooks.ps1: replaceAll Write-Host → Write-Information + strip -ForegroundColor + add -InformationAction Continue,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T03:10:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:55:28.671Z,2026-05-06T02:55:28.671Z
60ecb6e8-06d7-4bc5-9e6c-f4c896da874c,15,[S] Write-Host refactor: sync-mcp-configs.ps1 1 call → Write-Information,edit sync-mcp-configs.ps1: 1 Write-Host replaced with Write-Information,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T03:12:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:55:39.399Z,2026-05-06T02:55:39.399Z
639d35f8-f215-4735-b129-3952e7e5adde,14,[S] Write-Host refactor: lint-hooks.ps1 3 calls → Write-Information,edit lint-hooks.ps1: 3 Write-Host calls replaced with Write-Information -InformationAction Continue,,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Success,2026-05-06T03:11:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:55:34.001Z,2026-05-06T02:55:34.001Z
8ff8b81a-0125-4348-8af4-0df22f90852b,5,[L] Parse error: HookRuntime.ps1:51 unquoted string syntax error,PreToolUse.ps1 dot-sourced HookRuntime.ps1 which had parse error at line 51,ParserError: Missing type name after '['. Line 51,44f99863-5f40-41a2-8286-d1c69aa7d2d5,Fix Cline HookRuntime.ps1 Syntax Errors — Unblock All Hooks,Failed,2026-05-06T02:57:00.000Z,9774352c-d472-4d7f-a38f-6ccf14e98723,Kanishk Nishar,2026-05-06T02:54:37.543Z,2026-05-06T02:54:37.543Z
